rank;university;score;id
1;Национальный исследовательский университет «Высшая школа экономики»;74.18;1766
2;Московский государственный университет имени М. В. Ломоносова;72.73;1725
3;Московский физико-технический институт (национальный исследовательский университет);72.65;161
4;Национальный исследовательский университет ИТМО;57.14;234
5;Санкт-Петербургский государственный университет;55.14;1771
6;Национальный исследовательский ядерный университет «МИФИ»;54.73;165
7;Московский государственный технический университет имени Н. Э. Баумана;54.67;147
8;Национальный исследовательский технологический университет «МИСИС»;51.07;59
9;Российский экономический университет имени Г. В. Плеханова;49.26;209
10;Московский государственный институт международных отношений МИД РФ;48.79;1758
11;Финансовый университет при Правительстве РФ;46.73;1767
12;Российская академия народного хозяйства и государственной службы при Президенте РФ;46.58;1783
13;Новосибирский национальный исследовательский государственный университет;42.85;178
14;Российская экономическая школа;41.87;2078
15;Санкт-Петербургский политехнический университет Петра Великого;41.68;240
16;Уральский федеральный университет имени первого Президента России Б. Н. Ельцина;41.38;313
17;Университет Иннополис;40.62;113409
18;Российский университет дружбы народов имени Патриса Лумумбы;39.1;222
19;Центральный университет;37.37;666671171
20;Первый Московский государственный медицинский университет имени И. М. Сеченова;36.71;1792
21;Казанский (Приволжский) федеральный университет (КФУ);35.64;1519
22;Национальный исследовательский Томский государственный университет (ТГУ);34.92;294
23;Санкт-Петербургский горный университет императрицы Екатерины II;32.94;237
24;Томский политехнический университет (ТПУ);32.48;296
25;Московский государственный юридический университет им. О.Е. Кутафина;32.44;130
26;Дальневосточный федеральный университет;30.9;1520
27;МИРЭА — Российский технологический университет;30.36;134
28;Московский авиационный институт (МАИ);29.52;131
29;Национальный исследовательский университет «МЭИ»;28.56;162
30;Московский государственный лингвистический университет;28.41;141
31;Российский национальный исследовательский медицинский университет имени Н.И. Пирогова;28.27;1595
32;Всероссийская академия внешней торговли Министерства экономического развития РФ;26.08;1810
33;Санкт-Петербургский государственный университет промышленных технологий и дизайна;25.45;245
34;Сибирский федеральный университет (СФУ);25.42;1507
35;Государственный институт русского языка имени А.С. Пушкина;25.17;58
36;Первый Санкт-Петербургский государственный медицинский университет;24.94;1572
37;Национальный исследовательский Нижегородский государственный университет;24.53;170
38;СПбГЭТУ «ЛЭТИ»;24.5;247
39;Московский городской педагогический университет;24.43;2183
40;Российский университет медицины;24.14;1610
41;Дипломатическая академия МИД РФ;24.04;1798
42;Российский химико‑технологический университет имени Д. И. Менделеева;23.84;223
43;Санкт-Петербургский государственный экономический университет;23.15;100256
44;Государственный университет управления;22.85;60
45;Южный федеральный университет (ЮФУ);22.81;337
46;Московский технический университет связи и информатики;22.67;1593
47;Российский государственный гуманитарный университет (РГГУ);22.09;212
48;Московский архитектурный институт (государственная академия);21.92;133
49;Балтийский федеральный университет имени Иммануила Канта;21.92;317
50;Новосибирский государственный технический университет;21.66;177
51;Российский государственный университет нефти и газа им. И.М. Губкина;21.6;219
52;Российский государственный университет имени А.Н.Косыгина;21.19;151
53;Санкт-Петербургская академия художеств имени Ильи Репина;21.15;1812
54;Российский государственный педагогический университет имени А.И.Герцена;20.99;213
55;Национальный исследовательский университет «МИЭТ»;20.83;140
56;Рязанский государственный медицинский университет имени академика И.П.Павлова;20.79;1765
57;Самарский национальный исследовательский университет имени академика С. П. Королева;20.79;251
58;Северо-Западный государственный медицинский университет имени И.И.Мечникова;20.62;1734
59;Южно-Уральский государственный университет;20.52;336
60;Московский педагогический государственный университет;20.41;160
61;Башкирский государственный медицинский университет;20.39;1731
62;Казанский государственный медицинский университет;20.21;1562
63;Московская высшая школа социальных и экономических наук;20.16;1967
64;Российский государственный аграрный университет — МСХА имени К.А.Тимирязева;20.01;1640
65;Московский государственный академический художественный институт имени В.И.Сурикова;20.01;1806
66;Московский политехнический университет;19.94;120111
67;Московский государственный технологический университет «СТАНКИН»;19.76;148
68;Литературный институт имени А. М. Горького;19.75;118
69;Санкт-Петербургская государственная художественно-промышленная академия;19.7;233
70;Восточная экономико-юридическая гуманитарная академия;19.69;1849
71;Московский государственный строительный университет (МГСУ);19.54;144
72;Казанский государственный архитектурно-строительный университет;19.35;86
73;Институт кино и телевидения (ГИТР);19.29;1938
74;Тюменский государственный университет;19.27;302
75;Воронежский государственный университет;19.26;45
76;Санкт-Петербургский государственный архитектурно-строительный университет;19.18;236
77;Национальный институт дизайна;19.1;1944
78;Иркутский национальный исследовательский технический университет;19.03;82
79;Алтайский государственный университет;18.86;4
80;Приволжский исследовательский медицинский университет;18.83;1587
81;Пермский национальный исследовательский политехнический университет;18.82;197
82;Институт современного искусства;18.78;110243
83;Кубанский государственный медицинский университет;18.73;1728
84;Санкт-Петербургский государственный институт кино и телевидения;18.73;1738
85;Новосибирский государственный университет архитектуры, дизайна и искусств;18.67;174
86;Кубанский государственный университет;18.64;109
87;Тверской государственный медицинский университет;18.64;1621
88;Санкт-Петербургский государственный технологический институт;18.44;242
89;Уфимский университет науки и технологий;18.41;666669204
90;Уральский государственный юридический университет имени В.Ф.Яковлева;18.39;309
91;Краснодарский государственный институт культуры;18.38;1663
92;Российский университет спорта «ГЦОЛИФК»;18.03;1787
93;Государственный академический университет гуманитарных наук;18.01;57
94;Новосибирский государственный университет экономики и управления «НИНХ»;18;179
95;Казанский национальный исследовательский технический университет имени А.Н. Туполева;17.96;87
96;Уфимский государственный нефтяной технический университет;17.94;319
97;Московский институт психоанализа;17.86;1946
98;Российский университет транспорта;17.81;1566
99;Уральский государственный медицинский университет;17.77;1607
100;Российский биотехнологический университет (РОСБИОТЕХ);17.74;155
